Year,Quarter,Period of coverage,Breakdown,Level,Employment rate of people with mental illness,Employment rate of population ,Indicator value,Mental illness numerator,Mental illness denominator,Population numerator,Population denominator
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Sunderland,18.3%,65.8%,47.4%,"4,600","25,200","116,300","176,800"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Surrey,43.1%,77.8%,34.7%,"17,700","41,000","579,100","744,000"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Sutton,53.3%,83.4%,30.2%,"4,300","8,000","102,600","123,000"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Swindon UA,39.1%,76.7%,37.6%,"3,600","9,200","98,700","128,700"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Tameside,38.5%,67.6%,29.1%,"6,200","16,100","94,300","139,300"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Telford and Wrekin UA,32.5%,72.0%,39.6%,"2,800","8,700","70,200","97,500"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Thurrock UA,*,70.6%,*,*,"4,800","67,200","95,100"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Torbay UA,31.9%,69.7%,37.8%,"2,900","9,000","48,900","70,200"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Tower Hamlets,16.5%,72.0%,55.5%,"2,100","12,600","148,700","206,700"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Trafford,30.5%,70.5%,40.0%,"4,900","16,000","95,200","135,100"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Wakefield,34.4%,74.1%,39.7%,"5,400","15,700","157,300","212,300"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Walsall,22.3%,56.5%,34.3%,"3,300","15,000","90,600","160,200"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Waltham Forest,44.0%,68.8%,24.7%,"2,200","5,100","110,700","161,000"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Wandsworth,32.5%,77.1%,44.6%,"2,500","7,800","154,000","199,600"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Warrington UA,35.7%,78.6%,43.0%,"3,100","8,800","108,400","137,900"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Warwickshire,40.2%,75.7%,35.5%,"6,600","16,300","240,400","317,600"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,West Berkshire UA,52.2%,78.6%,26.4%,"2,600","4,900","80,400","102,300"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,West Sussex,44.7%,79.3%,34.6%,"14,400","32,300","398,500","502,600"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Westminster,41.2%,70.3%,29.1%,"6,700","16,200","149,300","212,300"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Wigan,36.7%,68.4%,31.7%,"5,300","14,400","128,900","188,600"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Wiltshire,41.4%,75.3%,33.9%,"8,900","21,600","220,100","292,200"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Windsor and Maidenhead UA,84.3%,84.4%,0.0%,"2,900","3,500","79,400","94,100"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Wirral,21.7%,65.8%,44.1%,"4,500","20,700","123,900","188,500"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Wokingham UA,60.7%,77.4%,16.6%,"2,800","4,600","88,400","114,300"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Wolverhampton,*,61.7%,*,*,*,"82,500","133,800"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,Worcestershire,50.8%,78.8%,27.9%,"9,000","17,600","269,900","342,700"
2013,3,1/7/2013 to 30/9/2013,Unitary Authority/Local area,York UA,54.1%,78.5%,24.4%,"4,000","7,300","108,300","138,000"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Barking and Dagenham,50.9%,59.0%,8.1%,"3,600","7,100","65,300","110,700"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Barnet,52.7%,77.5%,24.8%,"4,400","8,400","166,200","214,400"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Barnsley,25.6%,71.4%,45.8%,"2,900","11,500","113,000","158,300"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Bath and North East Somerset UA,44.1%,78.0%,33.9%,"3,400","7,700","89,800","115,100"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Bedfordshire,42.1%,77.3%,35.2%,"7,400","17,500","210,800","272,800"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Bexley,38.5%,67.8%,29.3%,"2,600","6,800","93,000","137,200"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Birmingham,25.0%,56.9%,31.9%,"15,500","62,200","380,200","668,300"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Blackburn with Darwen UA,*,66.2%,*,*,*,"62,700","94,800"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Blackpool UA,23.2%,65.1%,41.9%,"1,900","8,200","50,500","77,600"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Bolton,33.0%,68.8%,35.7%,"4,000","12,100","120,800","175,600"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Bournemouth UA,25.6%,78.9%,53.3%,"2,200","8,700","89,300","113,100"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Bracknell Forest UA,*,81.8%,*,*,*,"67,000","81,900"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Bradford,35.5%,64.7%,29.2%,"6,400","18,100","206,100","318,300"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Brent,*,63.4%,*,*,"6,000","110,700","174,500"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Brighton and Hove UA,25.2%,71.6%,46.4%,"4,400","17,600","126,100","176,000"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Bromley,52.1%,77.2%,25.1%,"6,200","11,900","169,400","219,400"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Buckinghamshire,37.3%,78.0%,40.7%,"5,500","14,700","250,500","321,300"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Bury,44.9%,71.9%,27.0%,"6,900","15,300","81,600","113,500"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Calderdale,53.6%,71.8%,18.3%,"5,500","10,200","99,600","138,600"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Cambridgeshire,52.9%,77.7%,24.8%,"13,200","25,000","308,800","397,200"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Camden,*,65.5%,*,*,*,"110,800","169,100"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Cheshire,31.3%,72.4%,41.1%,"7,100","22,700","302,800","418,400"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,City of Bristol UA,34.2%,68.4%,34.1%,"10,800","31,500","205,100","300,000"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,City of Kingston upon Hull UA,26.2%,67.2%,41.0%,"4,800","18,200","118,600","176,500"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Cornwall and the Isles of Scilly,31.4%,67.2%,35.8%,"10,500","33,300","219,300","326,400"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,County of Herefordshire UA,*,76.0%,*,*,*,"82,200","108,100"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Coventry,36.6%,67.3%,30.7%,"3,000","8,100","134,700","200,200"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Croydon,49.1%,70.3%,21.2%,"3,000","6,100","172,800","245,900"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Cumbria,32.6%,76.4%,43.8%,"5,700","17,600","229,900","300,700"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Darlington UA,*,76.7%,*,*,*,"54,700","71,300"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Derby UA,30.8%,64.4%,33.6%,"5,400","17,600","109,700","170,200"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Derbyshire,32.1%,75.6%,43.5%,"10,600","33,100","366,200","484,700"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Devon,32.0%,73.1%,41.1%,"11,600","36,100","317,800","434,700"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Doncaster,28.7%,67.7%,39.0%,"7,000","24,400","140,700","207,900"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Dorset,47.7%,77.7%,30.0%,"9,300","19,600","183,000","235,500"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Dudley,*,72.0%,*,*,*,"128,700","178,800"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Durham,31.8%,64.3%,32.5%,"9,800","30,800","211,500","328,700"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Ealing,33.6%,68.4%,34.8%,"3,400","10,100","142,900","208,900"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,East Riding of Yorkshire UA,24.2%,73.1%,48.9%,"3,600","14,700","150,500","206,000"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,East Sussex,22.9%,70.5%,47.5%,"5,900","25,600","217,400","308,500"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Enfield,20.6%,59.4%,38.8%,"3,300","16,100","116,800","196,400"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Essex,38.4%,75.5%,37.0%,"20,300","52,800","689,900","914,300"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Gateshead,15.1%,65.5%,50.4%,"1,700","11,000","86,000","131,200"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Gloucestershire,36.8%,75.7%,39.0%,"9,100","24,700","294,700","389,200"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Greenwich,28.5%,64.9%,36.4%,"3,700","13,000","93,600","144,200"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Hackney,31.9%,63.4%,31.5%,"2,100","6,700","105,000","165,600"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Halton UA,*,67.5%,*,*,*,"56,600","83,900"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Hammersmith and Fulham,*,68.1%,*,*,"4,500","82,600","121,300"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Hampshire,54.7%,77.7%,23.0%,"25,500","46,600","622,600","801,000"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Haringey,*,60.6%,*,*,"5,500","92,800","153,000"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Harrow,*,67.6%,*,*,*,"102,400","151,500"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Hartlepool UA,*,53.8%,*,*,*,"28,300","52,700"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Havering,*,77.5%,*,*,*,"118,000","152,300"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Hertfordshire,48.0%,77.3%,29.3%,"17,000","35,400","569,500","736,600"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Hillingdon,31.6%,65.1%,33.5%,"2,300","7,400","122,200","187,800"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Hounslow,*,70.8%,*,*,*,"116,400","164,600"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Isle of Wight UA,*,71.7%,*,*,*,"59,200","82,500"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Islington,42.0%,64.0%,22.0%,"2,300","5,400","98,100","153,300"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Kensington and Chelsea,*,67.0%,*,*,*,"73,900","110,300"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Kent,38.2%,72.4%,34.2%,"28,900","75,500","648,100","895,200"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Kingston upon Thames,26.5%,71.7%,45.2%,"2,100","8,000","87,300","121,700"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Kirklees,36.0%,71.3%,35.3%,"5,700","15,900","186,500","261,700"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Knowsley,19.5%,66.4%,47.0%,"1,900","9,800","59,600","89,700"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Lambeth,23.4%,83.3%,59.9%,"2,300","10,000","184,200","221,100"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Lancashire,30.4%,69.3%,38.9%,"20,900","68,600","497,400","717,900"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Leeds,29.7%,67.0%,37.3%,"13,100","44,000","374,100","558,700"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Leicester UA,26.3%,61.8%,35.6%,"5,000","19,000","124,200","200,900"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Leicestershire,37.2%,72.1%,34.9%,"10,600","28,400","301,600","418,100"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Lewisham,35.0%,74.8%,39.8%,"4,600","13,100","148,900","199,100"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Lincolnshire,35.4%,72.6%,37.3%,"13,200","37,200","316,300","435,500"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Liverpool,18.3%,66.6%,48.2%,"4,600","25,000","193,000","290,000"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Luton UA,37.6%,64.6%,27.0%,"2,200","5,800","77,300","119,800"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Manchester,16.6%,58.8%,42.2%,"6,800","40,800","225,300","382,800"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Medway UA,38.2%,72.8%,34.6%,"4,900","12,700","109,100","149,800"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Merton,31.5%,81.0%,49.4%,"2,500","8,000","124,100","153,200"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Middlesbrough UA,28.7%,55.9%,27.2%,"2,200","7,600","55,400","99,200"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Milton Keynes UA,18.9%,75.2%,56.2%,"1,900","10,300","119,400","158,900"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Newcastle upon Tyne,25.8%,57.3%,31.5%,"5,000","19,500","118,600","207,100"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Newham,*,64.5%,*,*,*,"115,000","178,500"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Norfolk,37.3%,74.1%,36.8%,"15,100","40,400","392,000","529,200"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,North East Lincolnshire UA,*,74.2%,*,*,*,"75,500","101,800"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,North Lincolnshire UA,*,77.2%,*,*,*,"69,000","89,400"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,North Somerset UA,28.9%,75.0%,46.1%,"3,200","11,200","104,500","139,300"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,North Tyneside,38.5%,73.1%,34.6%,"4,800","12,600","88,300","120,800"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,North Yorkshire,50.7%,76.9%,26.2%,"14,100","27,800","288,000","374,600"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Northamptonshire,31.3%,77.8%,46.6%,"7,000","22,400","342,900","440,500"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Northumberland,36.1%,76.1%,40.0%,"5,400","15,100","145,100","190,500"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Nottingham UA,25.3%,59.1%,33.8%,"4,300","17,000","127,400","215,500"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Nottinghamshire,30.9%,69.3%,38.3%,"13,100","42,200","343,100","495,400"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Oldham,31.1%,66.0%,34.9%,"3,900","12,400","95,300","144,400"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Oxfordshire,45.4%,77.4%,32.0%,"11,500","25,200","319,800","413,100"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Peterborough UA,34.4%,72.2%,37.7%,"2,400","7,000","83,900","116,300"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Plymouth UA,17.2%,66.2%,49.0%,"4,100","23,600","109,500","165,500"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Poole UA,54.2%,78.5%,24.2%,"3,700","6,800","72,500","92,400"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Portsmouth UA,47.1%,73.0%,25.9%,"4,600","9,800","104,000","142,400"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Reading UA,43.9%,73.2%,29.3%,"2,300","5,200","79,600","108,800"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Redbridge,*,71.0%,*,*,"3,300","133,100","187,400"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Redcar and Cleveland UA,23.6%,65.4%,41.8%,"3,100","13,200","59,000","90,200"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Richmond upon Thames,60.3%,78.0%,17.7%,"4,600","7,600","106,600","136,700"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Rochdale,26.0%,61.6%,35.6%,"2,900","11,200","81,800","132,800"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Rotherham,29.4%,70.0%,40.6%,"4,400","15,000","102,500","146,400"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Rutland UA,*,58.0%,*,*,*,"9,000","15,600"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Salford,22.3%,61.5%,39.2%,"3,700","16,500","91,900","149,400"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Sandwell,23.1%,62.4%,39.3%,"3,500","15,200","124,600","199,600"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Sefton,27.0%,73.1%,46.1%,"2,200","8,000","119,900","163,900"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Sheffield,29.8%,66.8%,37.0%,"12,400","41,600","246,500","369,100"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Shropshire,52.9%,76.7%,23.8%,"5,800","10,900","141,500","184,600"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Slough UA,35.1%,64.1%,29.0%,"2,200","6,300","56,800","88,600"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Solihull,58.6%,77.0%,18.4%,"6,200","10,600","114,800","149,000"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Somerset,41.4%,76.8%,35.4%,"9,200","22,200","242,300","315,600"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,South Gloucestershire UA,43.6%,76.1%,32.5%,"3,500","8,100","122,900","161,500"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,South Tyneside,19.0%,69.4%,50.4%,"1,600","8,400","74,900","108,000"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Southampton UA,44.2%,74.0%,29.8%,"5,800","13,100","126,500","171,000"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Southend-on-Sea UA,*,71.6%,*,*,"3,000","70,500","98,500"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Southwark,*,69.1%,*,*,*,"141,200","204,200"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,St. Helens,31.6%,74.5%,42.9%,"2,600","8,200","78,800","105,700"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Staffordshire,30.7%,74.0%,43.2%,"10,200","33,300","374,600","506,400"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Stockport,45.8%,77.5%,31.7%,"4,900","10,800","144,100","185,800"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Stockton-on-Tees UA,33.1%,66.1%,33.0%,"2,800","8,400","74,300","112,400"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Stoke-on-Trent UA,17.8%,64.9%,47.1%,"2,600","14,800","105,800","162,900"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Suffolk,39.9%,75.8%,35.9%,"11,400","28,400","335,300","442,500"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Sunderland,29.4%,67.6%,38.2%,"7,800","26,700","124,200","183,800"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Surrey,46.3%,77.4%,31.1%,"19,500","42,100","571,600","738,400"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Sutton,44.9%,80.7%,35.9%,"3,800","8,400","103,600","128,300"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Swindon UA,24.4%,79.3%,54.9%,"2,300","9,500","101,300","127,800"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Tameside,31.8%,66.1%,34.4%,"4,600","14,400","84,500","127,700"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Telford and Wrekin UA,34.7%,72.7%,38.0%,"2,900","8,200","69,500","95,600"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Thurrock UA,*,76.6%,*,*,"2,500","80,700","105,300"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Torbay UA,32.4%,64.7%,32.3%,"4,200","12,900","47,800","73,900"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Tower Hamlets,17.8%,68.9%,51.1%,"2,800","15,500","137,600","199,800"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Trafford,18.3%,69.3%,51.0%,"2,500","13,800","104,600","150,800"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Wakefield,40.0%,75.9%,36.0%,"5,600","14,100","160,600","211,500"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Walsall,32.1%,61.4%,29.2%,"4,400","13,600","98,400","160,300"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Waltham Forest,*,69.9%,*,*,*,"110,300","157,700"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Wandsworth,*,74.6%,*,*,*,"153,200","205,400"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Warrington UA,32.6%,78.7%,46.1%,"3,300","10,000","106,500","135,400"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Warwickshire,28.9%,77.4%,48.5%,"4,500","15,500","253,500","327,500"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,West Berkshire UA,*,82.5%,*,*,*,"92,700","112,300"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,West Sussex,47.3%,77.0%,29.7%,"12,300","25,900","369,400","479,700"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Westminster,31.1%,63.0%,31.8%,"4,100","13,300","114,900","182,400"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Wigan,35.7%,71.0%,35.2%,"5,200","14,500","139,800","197,000"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Wiltshire,38.6%,75.4%,36.8%,"7,300","19,000","220,200","291,900"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Windsor and Maidenhead UA,78.9%,80.3%,1.3%,"2,100","2,700","79,100","98,600"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Wirral,23.7%,69.5%,45.8%,"3,900","16,500","135,500","195,000"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Wokingham UA,100.0%,82.0%,-18.0%,"3,000","3,000","89,900","109,700"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Wolverhampton,38.1%,63.9%,25.8%,"2,300","6,100","87,800","137,400"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,Worcestershire,60.2%,75.6%,15.4%,"8,400","14,000","263,200","348,200"
2013,2,1/4/2013 to 30/6/2013,Unitary Authority/Local area,York UA,56.2%,69.5%,13.3%,"4,600","8,200","99,000","142,600"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Barking and Dagenham,32.2%,59.6%,27.4%,"2,400","7,500","71,000","119,300"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Barnet,45.2%,75.6%,30.5%,"4,900","10,800","176,000","232,800"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Barnsley,16.8%,70.6%,53.7%,"2,500","14,500","114,500","162,200"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Bath and North East Somerset UA,*,73.4%,*,*,*,"82,700","112,600"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Bedfordshire,17.7%,75.6%,57.9%,"2,600","14,800","200,400","265,100"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Bexley,33.6%,76.2%,42.6%,"2,300","7,000","111,600","146,500"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Birmingham,30.5%,58.9%,28.5%,"17,600","57,900","391,500","664,400"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Blackburn with Darwen UA,*,61.0%,*,*,*,"61,300","100,500"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Blackpool UA,*,68.3%,*,*,*,"56,500","82,700"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Bolton,21.0%,66.2%,45.1%,"2,400","11,200","117,000","176,900"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Bournemouth UA,46.5%,79.0%,32.5%,"2,100","4,600","80,100","101,400"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Bracknell Forest UA,36.1%,80.5%,44.4%,"2,300","6,300","59,900","74,400"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Bradford,42.5%,63.8%,21.4%,"7,800","18,300","214,500","336,100"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Brent,*,67.9%,*,*,*,"123,200","181,400"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Brighton and Hove UA,35.0%,70.7%,35.8%,"6,800","19,300","132,100","186,800"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Bromley,45.6%,76.9%,31.3%,"4,800","10,600","163,800","213,200"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Buckinghamshire,17.7%,77.6%,59.9%,"2,300","13,200","245,300","316,300"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Bury,33.4%,77.3%,43.9%,"3,200","9,500","94,200","121,900"
2013,1,1/1/2013 to 31/3/2013,Unitary authority/Local area,Calderdale,34.8%,69.8%,34.9%,"2,500","7,200","88,700","127,200"
